date,TLG
10/1/03,595.9282191200671
10/2/03,469.48184946629186
10/3/03,218.27767509869386
10/4/03,129.8407298364258
10/5/03,868.4735930664062
10/6/03,384.52386328125
10/7/03,0.0
10/8/03,659.3451594017058
10/9/03,161.1508467842496
10/10/03,340.2508059177195
10/11/03,522.7708052409182
10/12/03,339.0094011328781
10/13/03,410.7550252034005
10/14/03,445.93919334610575
10/15/03,494.8518768537535
10/16/03,154.54343417694378
10/17/03,469.5331045156149
10/18/03,760.3369964357998
10/19/03,751.3023971180944
10/20/03,752.8456502152964
10/21/03,363.4180414436903
10/22/03,479.01511237155705
10/23/03,923.0192008746562
10/24/03,425.1496343915203
10/25/03,1083.5683547475896
10/26/03,1034.4923894230697
10/27/03,633.1629994396362
10/28/03,913.7131479663086
10/29/03,682.2431751953125
10/30/03,549.2223515625
10/31/03,960.3103125
11/1/03,0.0
11/2/03,994.599375
11/3/03,1085.07196875
11/4/03,1004.472489453125
11/5/03,874.8164334765626
11/6/03,1926.6876906433106
11/7/03,597.8242917967408
11/8/03,1067.5107532672878
11/9/03,1941.4191401258963
11/10/03,1420.5618334685848
11/11/03,1082.340452646662
11/12/03,1035.1490862218468
11/13/03,899.3900089632484
11/14/03,541.6139356919422
11/15/03,1502.7902537586165
11/16/03,947.9717555319717
11/17/03,416.1050923503677
11/18/03,1012.9226254612945
11/19/03,1034.3117710855838
11/20/03,415.3117189706976
11/21/03,450.8574444648393
11/22/03,363.80851083748337
11/23/03,676.0311407895446
11/24/03,702.4990106813733
11/25/03,574.2886329053649
11/26/03,810.4982259063545
11/27/03,3.581231542052251
11/28/03,1199.6279516763984
11/29/03,58.53366780066847
11/30/03,1039.7556739656184
12/1/03,479.12747107444693
12/2/03,380.39737295089463
12/3/03,378.93888502108143
12/4/03,508.81756005789146
12/5/03,1989.6800901109364
12/6/03,4082.661454380699
12/7/03,4461.9143909445465
12/8/03,607.6365361227411
12/9/03,1200.1652021635355
12/10/03,1769.6845815325203
12/11/03,1144.840656804823
12/12/03,1141.4213182083254
12/13/03,1906.8479561201377
12/14/03,1237.263054992
12/15/03,884.8178447858458
12/16/03,757.5380155205429
12/17/03,273.76676839319987
12/18/03,809.4509795137099
12/19/03,1037.0912146439316
12/20/03,970.5366277448555
12/21/03,1245.5840907982688
12/22/03,1291.6873943239098
12/23/03,350.25265430631885
12/24/03,2618.20325950611
12/25/03,3668.902240689767
12/26/03,1548.0733391877434
12/27/03,922.3986454575106
12/28/03,213.3429585811868
12/29/03,1551.4353616875978
12/30/03,1335.566037686028
12/31/03,1388.9562258752007
1/1/04,4216.238468129958
1/2/04,1549.297561686551
1/3/04,937.2676694894876
1/4/04,1214.4667960948627
1/5/04,305.3494653278756
1/6/04,719.7101669302951
1/7/04,554.9734607112603
1/8/04,548.2119661977225
1/9/04,522.4972345795793
1/10/04,995.9194650536085
1/11/04,133.01265154374903
1/12/04,1117.2751638310801
1/13/04,232.41031224981617
1/14/04,518.660303783585
1/15/04,252.70083517144326
1/16/04,595.6796191042629
1/17/04,1164.6182790992032
1/18/04,276.1840601748142
1/19/04,498.8814164052045
1/20/04,202.71639611373456
1/21/04,226.16350255538873
1/22/04,253.99048840447426
1/23/04,1312.9248488452085
1/24/04,44.30755692302961
1/25/04,1345.8703318086807
1/26/04,112.07333168506017
1/27/04,474.6970139838488
1/28/04,32.209102955512236
1/29/04,654.7616991410944
1/30/04,767.5160556592912
1/31/04,1262.5108814348755
2/1/04,672.5245233813476
2/2/04,0.0
2/3/04,1505.879375
2/4/04,836.9380605955785
2/5/04,823.7621253931866
2/6/04,303.61556771469645
2/7/04,1016.6718652698248
2/8/04,746.1153227074042
2/9/04,814.1744247430044
2/10/04,26.601265822548072
2/11/04,687.672420885857
2/12/04,480.51608306941773
2/13/04,644.8753510579613
2/14/04,793.728607130958
2/15/04,206.61426344330414
2/16/04,2025.6990666436868
2/17/04,2897.863162882143
2/18/04,3914.801524934961
2/19/04,2430.4242773886435
2/20/04,1827.2545771465147
2/21/04,1095.2390391303943
2/22/04,1042.6297123202426
2/23/04,1197.1846586865051
2/24/04,704.922977216027
2/25/04,3665.528571761009
2/26/04,5902.440101416226
2/27/04,3245.3067600750546
2/28/04,2039.0631368565007
2/29/04,1075.9444555332352
3/1/04,1460.5307186000236
3/2/04,560.7673289420825
3/3/04,1140.1155966054107
3/4/04,448.6486592818799
3/5/04,1095.042353585739
3/6/04,513.9995950355585
3/7/04,1051.86188884707
3/8/04,1630.7782594286068
3/9/04,1954.58135574199
3/10/04,309.19989680723074
3/11/04,2412.0159982966884
3/12/04,4126.577778893186
3/13/04,2408.851921159792
3/14/04,2631.8688795801318
3/15/04,3513.5163146808973
3/16/04,3361.2769033189093
3/17/04,3097.9934681411396
3/18/04,3507.2086469088663
3/19/04,3788.6842418531405
3/20/04,3897.871855166911
3/21/04,4520.244821373192
3/22/04,4306.000862298489
3/23/04,4702.262242916362
3/24/04,3360.731041339963
3/25/04,3534.854711757362
3/26/04,2314.8628509221735
3/27/04,1043.6678866543239
3/28/04,929.7926109437158
3/29/04,1661.6896044888463
3/30/04,1412.086507791004
3/31/04,1610.9211655324307
4/1/04,1411.1895710879062
4/2/04,765.7023953527
4/3/04,785.0168640149091
4/4/04,1823.8585544747593
4/5/04,2284.3368180686093
4/6/04,3024.879661065879
4/7/04,2049.121579412779
4/8/04,2059.669392313723
4/9/04,2687.145388555385
4/10/04,2529.1356841655756
4/11/04,2079.0391359632595
4/12/04,2628.0828595336925
4/13/04,3070.9226950877764
4/14/04,1974.0802696860833
